country;edu_of_gpd
Kiribati;12,4
Greenland;10,6
Solomon Islands;10,1
Micronesia, Federated States of;9,7
Marshall Islands;9,6
Namibia;9,4
Sierra Leone;9,3
Montserrat;9,1
Faroe Islands;8,2
Tonga;8
Belize;7,9
Denmark;7,8
Iceland;7,6
Norway;7,6
Sweden;7,6
Lesotho;7,4
Bolivia;7,3
Tunisia;7,3
Suriname;7,2
Bhutan;6,9
Botswana;6,9
South Africa;6,8
Timor-Leste;6,8
Costa Rica;6,7
Kuwait;6,6
Belgium;6,4
Finland;6,3
Israel;6,2
Mozambique;6,2
Algeria;6,1
Brazil;6,1
Moldova;6,1
Puerto Rico;6,1
New Zealand;6
Sao Tome and Principe;5,9
Burkina Faso;5,8
Cyprus;5,8
Saint Vincent and the Grenadines;5,7
Tajikistan;5,7
Aruba;5,5
Chile;5,4
France;5,4
Jamaica;5,4
Kyrgyzstan;5,4
Netherlands;5,4
Oman;5,4
Ukraine;5,4
Canada;5,3
Eswatini;5,3
Gaza Strip;5,3
Senegal;5,3
West Bank;5,3
Austria;5,2
Estonia;5,2
United Kingdom;5,2
Australia;5,1
Burundi;5,1
Ethiopia;5,1
Fiji;5,1
Kenya;5,1
Uzbekistan;5,1
Belarus;5
Dominica;5
Germany;5
Togo;5
United States;5
Curacao;4,9
Honduras;4,9
Mongolia;4,9
Slovenia;4,9
Switzerland;4,9
Argentina;4,8
Samoa;4,8
Cabo Verde;4,7
Malta;4,7
Portugal;4,7
Russia;4,7
Uruguay;4,7
Hungary;4,6
Mauritius;4,6
Poland;4,6
Colombia;4,5
Guyana;4,5
Korea, South;4,5
Zambia;4,5
Brunei;4,4
Hong Kong;4,4
Nepal;4,4
Barbados;4,3
Czechia;4,3
Italy;4,3
Mexico;4,3
Turkey;4,3
Latvia;4,2
Malaysia;4,2
Peru;4,2
Spain;4,2
Bulgaria;4,1
Ecuador;4,1
Maldives;4,1
Vietnam;4,1
Dominican Republic;4
Ghana;4
Slovakia;4
Albania;3,9
Congo, Republic of the;3,9
Croatia;3,9
Egypt;3,9
Lithuania;3,9
Seychelles;3,9
Georgia;3,8
Cote d'Ivoire;3,7
Iran;3,7
Luxembourg;3,7
Anguilla;3,6
Djibouti;3,6
Greece;3,6
Grenada;3,6
Saint Lucia;3,6
Serbia;3,6
Trinidad and Tobago;3,6
Zimbabwe;3,6
China;3,5
Cook Islands;3,5
India;3,5
Niger;3,5
Paraguay;3,5
Turks and Caicos Islands;3,5
El Salvador;3,4
Ireland;3,4
Mali;3,4
Nicaragua;3,4
Rwanda;3,4
San Marino;3,4
Antigua and Barbuda;3,3
Guatemala;3,3
Romania;3,3
Afghanistan;3,2
Andorra;3,2
Japan;3,2
Philippines;3,2
Qatar;3,2
Cameroon;3,1
Macau;3,1
Panama;3,1
Tanzania;3,1
Turkmenistan;3,1
United Arab Emirates;3,1
Benin;3
Jordan;3
Thailand;3
Uganda;3
British Virgin Islands;2,9
Gambia, The;2,9
Guinea-Bissau;2,9
Kazakhstan;2,9
Laos;2,9
Madagascar;2,9
Malawi;2,9
Gabon;2,8
Indonesia;2,8
Armenia;2,7
Azerbaijan;2,7
Lebanon;2,6
Liechtenstein;2,6
Saint Kitts and Nevis;2,6
Bahamas, The;2,5
Comoros;2,5
Pakistan;2,5
Singapore;2,5
Chad;2,4
Bahrain;2,3
Liberia;2,3
Vanuatu;2,3
Cambodia;2,2
Guinea;2,2
Sri Lanka;2,1
Burma;2
Mauritania;1,9
Papua New Guinea;1,9
Angola;1,8
Central African Republic;1,8
Haiti;1,7
Congo, Democratic Republic of the;1,5
South Sudan;1,5
Bangladesh;1,3
Bermuda;1,3
Venezuela;1,3
Monaco;1,2
