country;unemployment_rate
Cocos (Keeling) Islands;0,1
Cambodia;0,3
Niger;0,3
Laos;0,7
Malta;0,78
Belarus;0,8
Thailand;0,99
Benin;1
Falkland Islands (Islas Malvinas);1
Gibraltar;1
Isle of Man;1,1
Kuwait;1,1
Tonga;1,1
Guernsey;1,2
United Arab Emirates;1,6
Palau;1,7
Vanuatu;1,7
Madagascar;1,8
Macau;2
Monaco;2
Tokelau;2
Faroe Islands;2,2
Singapore;2,25
Guatemala;2,3
Switzerland;2,31
Japan;2,36
Liechtenstein;2,4
Tajikistan;2,4
Papua New Guinea;2,5
Cuba;2,6
Guinea;2,7
Rwanda;2,7
Czechia;2,8
Liberia;2,8
British Virgin Islands;2,9
Maldives;2,9
Hong Kong;2,93
Nepal;3
Seychelles;3
Denmark;3,05
Romania;3,06
Vietnam;3,11
United Kingdom;3,17
Kyrgyzstan;3,18
Bhutan;3,2
Malaysia;3,3
Netherlands;3,41
Hungary;3,45
Mexico;3,49
Bahrain;3,6
Iceland;3,62
China;3,64
Andorra;3,7
Norway;3,72
Taiwan;3,73
Korea, South;3,76
United States;3,89
Bolivia;4
Burma;4
Cayman Islands;4
Jersey;4
New Zealand;4,13
Cameroon;4,3
Bangladesh;4,4
Israel;4,4
Timor-Leste;4,4
Fiji;4,5
Guam;4,5
Saint Kitts and Nevis;4,5
Russia;4,6
Kazakhstan;4,8
Sri Lanka;4,83
Trinidad and Tobago;4,9
Estonia;4,94
Ireland;4,98
Germany;4,98
Moldova;4,99
Slovakia;5
Azerbaijan;5
Uzbekistan;5
Dominican Republic;5,1
Philippines;5,11
Australia;5,16
Samoa;5,2
Indonesia;5,31
Belgium;5,36
Luxembourg;5,36
Poland;5,43
Honduras;5,6
Montserrat;5,6
Bulgaria;5,66
Canada;5,67
Paraguay;5,7
Ecuador;5,71
Eritrea;5,8
Albania;5,83
Pakistan;6
Saudi Arabia;6
Panama;6,14
Latvia;6,14
Nicaragua;6,4
Comoros;6,5
Portugal;6,55
Peru;6,58
Angola;6,6
Finland;6,63
Mauritius;6,65
Sweden;6,78
Brunei;6,9
Central African Republic;6,9
Togo;6,9
Venezuela;6,9
Bermuda;7
El Salvador;7
Cyprus;7,07
Chile;7,22
Austria;7,35
Uruguay;7,6
Slovenia;7,64
Aruba;7,7
Jamaica;7,72
Egypt;7,86
Mali;7,9
Anguilla;8
Mongolia;8
Croatia;8,07
Costa Rica;8,1
San Marino;8,1
France;8,12
Lithuania;8,4
India;8,5
Equatorial Guinea;8,6
Saint Pierre and Miquelon;8,7
Wallis and Futuna;8,8
Ukraine;8,89
Qatar;8,9
Suriname;8,9
Belize;9
Cabo Verde;9
Greenland;9,1
Morocco;9,23
Cote d'Ivoire;9,4
Uganda;9,4
Lebanon;9,7
Argentina;9,84
Italy;9,88
Turks and Caicos Islands;10
Bahamas, The;10,1
Barbados;10,1
Mauritania;10,2
Tanzania;10,3
Virgin Islands;10,4
Colombia;10,5
Puerto Rico;10,8
Antigua and Barbuda;11
Turkmenistan;11
Guyana;11,1
Northern Mariana Islands;11,2
Zimbabwe;11,3
Algeria;11,7
Georgia;11,8
Iran;11,8
Ghana;11,9
Brazil;11,93
Niue;12
Sint Maarten;12
Sao Tome and Principe;12,2
Curacao;13
Cook Islands;13,1
Turkey;13,68
Saint Helena, Ascension, and Tristan da Cunha;14
Serbia;14,1
Spain;14,13
New Caledonia;14,7
Sierra Leone;15
Zambia;15
Tunisia;15,5
Montenegro;15,82
Iraq;16
Micronesia, Federated States of;16,2
Nigeria;16,5
Greece;17,3
Ethiopia;17,5
Saint Vincent and the Grenadines;18,8
Armenia;18,9
Jordan;19,1
Sudan;19,6
Botswana;20
Saint Lucia;20
Malawi;20,4
French Polynesia;21,8
Dominica;23
Nauru;23
Afghanistan;23,9
Grenada;24
Mozambique;24,5
Korea, North;25,6
Yemen;27
Gaza Strip;27,9
West Bank;27,9
Eswatini;28
Gabon;28
Lesotho;28,1
South Africa;28,53
American Samoa;29,8
Libya;30
Kosovo;30,5
Kiribati;30,6
Bosnia and Herzegovina;33,28
Namibia;34
Congo, Republic of the;36
Marshall Islands;36
Djibouti;40
Kenya;40
Haiti;40,6
Senegal;48
Syria;50
Burkina Faso;77
